Location number,Location name,Lat,Lon,Corr with Adult female lice,Corr with Lice in moving stages,Corr with Attached lice
24535,Storholmen,70.3414,23.39285,-0.132639934,0.046798193,0.224582656
24575,Farmannsøya,64.18452,10.1222,0.1645129,0.183536896,0.289076471
24615,Grunnsøya,61.68485,4.915633,-0.48100227,-0.413006295,-0.010606087
24695,Årnes,64.59637,11.272917,0.117847495,0.037302194,0.068102981
24696,Ørnøya II,63.758484,8.450367,0.146451266,0.248296275,0.250961407
24715,Langholmen,59.097282,5.835917,0.283980014,0.063487876,-0.08667766
24735,Gulholmen,60.1282,5.400467,-0.051823787,-0.165016526,-0.356824619
24915,Bøbukta,65.66164,12.083917,0.016092879,-0.022578342,-0.440201292
24937,Nebbo,59.87075,5.725017,-0.073836813,-0.003274676,-0.117403029
24975,Kvernavika,60.069283,5.351183,-0.022066337,-0.066050494,-0.241291485
25055,Bekksneset,61.07675,5.386017,0.034316833,-0.138396044,-0.249740306
25235,Humulen,64.94605,11.372467,-0.089157485,-0.025649381,0.073119171
25695,Gjerde,62.259983,5.929183,-0.092758783,-0.091218817,-0.112567242
25736,Josommarset,67.92365,16.211517,0.036318695,-0.084500491,-0.018603928
25815,Tittelsnes,59.72365,5.534383,-0.01057422,-0.230914707,-0.330572838
25835,Flatøyflu,60.156033,5.2315,-0.098474403,-0.182450557,-0.274734975
25855,Tussøya,69.662834,18.180067,-0.093440514,0.103772087,0.148491717
25895,Flornes,59.890984,5.665983,0.070736949,-0.103167671,-0.271199026
25896,Skorpo,59.875767,5.638817,-0.044697919,-0.240764189,-0.325788721
26055,Toppsund Ø,68.863716,16.403032,0.061188405,0.163569033,0.211979416
26135,Kjørsvikgrunn,63.457565,9.076,0.118162824,0.206040757,0.10703231
26155,Slåttholmen,63.44779,8.958173,0.049259805,0.039240462,-0.033830652
26235,Stualand,59.6088,5.5269,-0.086787179,-0.070634672,-0.276049324
26295,Langøy,60.77947,5.16,-0.05846945,-0.102399906,-0.278557073
26315,Nordgjæslingan,64.76597,10.913767,0.159384383,0.17330349,0.165571182
26335,Geitholmen,64.79955,11.025933,-0.079932443,0.025766779,0.192089731
26435,Mjølsvik,61.112484,6.04255,0.005006168,-0.127766344,-0.167920682
26495,Jevik,68.412636,16.526934,0.290495594,0.406163411,0.273353315
26575,Teigane,59.520332,6.337233,-0.127776678,-0.188268294,-0.20401489
26595,Djupevika,60.035816,5.342217,-0.138955892,-0.176526469,-0.307155548
26615,Haug,68.76693,16.06485,-0.32943338,-0.232172921,-0.032874335
26675,Leirholmen,66.3565,12.530117,0.028098719,0.157433477,0.114619507
26738,Skiftesvika,59.167885,5.920667,-0.308339265,-0.1910341,-0.223672431
26775,Fjølværet Ø,63.819233,8.636133,0.133833141,0.26385051,0.194004755
26795,Austvika,64.41853,10.696033,0.145286452,0.214401533,0.17944021
26935,Frovågneset,69.06865,17.061447,0.127348565,0.107420669,0.210970972
26955,Hettaneset,59.4592,5.852867,-0.144575013,0.127256487,-0.121065174
27015,Kjøsen,70.14052,22.24615,-0.151813899,-0.004805976,0.097313149
27055,Oddane,61.540367,4.968933,0.111053863,-0.179212681,-0.258183568
27095,Ihlholmen,59.7215,5.586633,0.03198985,-0.065636146,-0.115568583
27215,Myrane,62.6505,6.726683,0.098513588,0.120094417,0.105326868
27315,Vikane 1,60.263668,6.208383,-0.111795631,-0.163435685,-0.185098758
27436,Solværet,63.255,7.856933,0.18921134,0.188464431,0.173080765
27476,Solheim,69.83117,19.52035,-0.21948193,-0.103810915,-0.10555708
27536,Flatskjæret,64.933876,11.409243,0.372491541,0.333529599,0.345127503
27556,Beøya,63.663666,8.847783,0.200827643,0.30613439,0.132742451
27856,Hundholmen,67.26553,15.125183,0.001644706,-0.148156643,-0.023389556
27876,Olderbakken,65.31118,12.368633,-0.199093589,-0.045366992,0.117969635
27976,Bukkholmen,65.918816,12.24605,0.31161531,0.305219081,0.263005949
27996,Kalvhodet,68.33881,15.236583,0.064579256,-0.020846099,0.043746114
28036,Langskjæran,67.118385,13.898417,-0.221199441,-0.002212946,0.30203921
28096,Slåttenes,59.83335,5.981417,0.144948289,0.201771629,-0.090564617
28196,Kvernes,68.40205,16.914368,0.202386373,0.241708064,0.251671769
28256,Skår,59.8994,5.532767,-0.26617033,-0.126550586,-0.051880932
28296,Skommesvik,68.71633,16.037283,-0.014346621,-0.030613571,0.186797316
28316,,,,0.231276945,0.077595895,0.075284524
28336,Breivika,66.1609,12.68205,-0.035256922,0.144615987,0.25549124
28396,Lindarholmen,60.083866,5.63925,-0.1903765,-0.400662224,-0.429578844
28416,Sandvik,60.456566,5.6922,-0.119082139,-0.128013228,-0.176703577
28636,Rataren,63.780582,8.5176,0.187788154,0.294827391,0.337467802
28676,Olvika,66.4367,13.126033,0.256030763,0.328509012,0.300892725
28896,Stangholmen,66.61802,12.954667,0.047943048,0.167674487,0.282767517
